λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,50.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.3266003839332385
1.0,1.0,54.0,400.0,200.0,0.0,2.333333333333333,4.536998995398908
1.0,1.0,54.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.3153972342283713
1.0,1.0,58.0,400.0,200.0,0.0,2.333333333333333,4.53677715995585
1.0,1.0,58.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.296381864539019
1.0,1.0,63.0,400.0,200.0,0.0,2.333333333333333,4.782976598109241
1.0,1.0,63.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.287100336166918
1.0,1.0,68.0,400.0,200.0,0.0,2.333333333333333,5.024289567574289
1.0,1.0,68.0,400.0,200.0,0.9122448979591836,2.333333333333333,3.359699690303536
1.0,1.0,73.0,400.0,200.0,0.0,2.333333333333333,5.554630384336245
1.0,1.0,73.0,400.0,200.0,0.5061224489795918,2.333333333333333,3.5865147344869968
1.0,1.0,79.0,400.0,200.0,0.0,2.333333333333333,5.869803784313682
1.0,1.0,79.0,400.0,200.0,0.5061224489795918,2.333333333333333,3.6296104640885214
1.0,1.0,85.0,400.0,200.0,0.0,2.333333333333333,5.776386606700888
1.0,1.0,85.0,400.0,200.0,0.9122448979591836,2.333333333333333,3.351483372754164
1.0,1.0,92.0,400.0,200.0,0.0,2.333333333333333,6.178542736351938
1.0,1.0,92.0,400.0,200.0,0.9122448979591836,2.333333333333333,3.3646986083793933
1.0,1.0,100.0,400.0,200.0,0.0,2.333333333333333,6.221514156232062
1.0,1.0,100.0,400.0,200.0,0.9122448979591836,2.333333333333333,3.328834475740255
1.0,1.0,108.0,400.0,200.0,0.0,2.333333333333333,6.4201962458232495
1.0,1.0,108.0,400.0,200.0,0.9122448979591836,2.333333333333333,3.3003714988976833
1.0,1.0,116.0,400.0,200.0,0.0,2.333333333333333,6.87998317414023
1.0,1.0,116.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.1946131440880903
1.0,1.0,126.0,400.0,200.0,0.0,2.333333333333333,7.802951063164513
1.0,1.0,126.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.1382981559164613
1.0,1.0,136.0,400.0,200.0,0.0,2.333333333333333,9.182647637646728
1.0,1.0,136.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.1409518705771653
1.0,1.0,147.0,400.0,200.0,0.0,2.333333333333333,10.508629273723695
1.0,1.0,147.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.1416198776032487
1.0,1.0,158.0,400.0,200.0,0.0,2.333333333333333,12.521269218635844
1.0,1.0,158.0,400.0,200.0,1.7244897959183674,2.333333333333333,3.1353739283525175
1.0,1.0,171.0,400.0,200.0,0.0,2.333333333333333,25.49495816785715
1.0,1.0,171.0,400.0,200.0,1.7244897959183674,2.333333333333333,3.1137800715775663
1.0,1.0,185.0,400.0,200.0,0.0,2.333333333333333,39.85102751573394
1.0,1.0,185.0,400.0,200.0,1.7244897959183674,2.333333333333333,3.0789577116533673
1.0,1.0,200.0,400.0,200.0,0.0,2.333333333333333,931.7022098621827
1.0,1.0,200.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.0596871178589935
1.0,1.0,216.0,400.0,200.0,0.0,2.333333333333333,28.133759408086007
1.0,1.0,216.0,400.0,200.0,1.7244897959183674,2.333333333333333,2.9845629050721523
1.0,1.0,234.0,400.0,200.0,0.0,2.333333333333333,11.625884935676654
1.0,1.0,234.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.0082956062454635
1.0,1.0,254.0,400.0,200.0,0.0,2.333333333333333,8.687299035630534
1.0,1.0,254.0,400.0,200.0,1.3183673469387756,2.333333333333333,2.9803563117912897
1.0,1.0,275.0,400.0,200.0,0.0,2.333333333333333,6.685902030563727
1.0,1.0,275.0,400.0,200.0,0.9122448979591836,2.333333333333333,2.9822281196442466
1.0,1.0,297.0,400.0,200.0,0.0,2.333333333333333,5.831395050671426
1.0,1.0,297.0,400.0,200.0,0.9122448979591836,2.333333333333333,2.9482775547596733
1.0,1.0,322.0,400.0,200.0,0.0,2.333333333333333,4.938808534391396
1.0,1.0,322.0,400.0,200.0,0.9122448979591836,2.333333333333333,2.851336409167658
1.0,1.0,348.0,400.0,200.0,0.0,2.333333333333333,3.931612184811602
1.0,1.0,348.0,400.0,200.0,0.9122448979591836,2.333333333333333,2.749745074847586
1.0,1.0,377.0,400.0,200.0,0.0,2.333333333333333,3.45503228412474
1.0,1.0,377.0,400.0,200.0,0.9122448979591836,2.333333333333333,2.6822042756349633
1.0,1.0,408.0,400.0,200.0,0.0,2.333333333333333,3.194312751245811
1.0,1.0,408.0,400.0,200.0,0.9122448979591836,2.333333333333333,2.6209891790647393
1.0,1.0,442.0,400.0,200.0,0.0,2.333333333333333,3.150789604871662
1.0,1.0,442.0,400.0,200.0,0.9122448979591836,2.333333333333333,2.668839384392304
