λ,μ,p,n,snr,n_iter,MSE
1.0,3.0,216.0,200.0,2.333333333333333,40152012.5,25.662758681048572
1.0,3.0,216.0,200.0,3.6666666666666665,40152012.5,25.69955063438499
1.0,3.0,216.0,200.0,5.0,40152012.5,25.73992927787628
1.0,3.0,234.0,200.0,1.0,40152012.5,6.354875783652038
1.0,3.0,234.0,200.0,2.333333333333333,40152012.5,6.525374995533085
1.0,3.0,234.0,200.0,3.6666666666666665,40152012.5,6.686789710993909
1.0,3.0,234.0,200.0,5.0,40152012.5,6.843920264033155
1.0,3.0,254.0,200.0,1.0,40152012.5,4.5038889173713965
1.0,3.0,254.0,200.0,2.333333333333333,40152012.5,4.858117569162353
1.0,3.0,254.0,200.0,3.6666666666666665,40152012.5,5.187639145768067
